"artist","track","views","rnk"
"$NOT","Tell Em","41100657","1"
"$NOT","Like Me (feat. iann dior)","15803517","2"
"$NOT","Mean","13563870","3"
"$uicideboy$","Paris","175156959","1"
"$uicideboy$","For the Last Time","91771038","2"
"$uicideboy$","Kill Yourself (Part III)","31674988","3"
"(G)I-DLE","POP/STARS","541864471","1"
"(G)I-DLE","TOMBOY","204797335","2"
"(G)I-DLE","Oh my god","191587399","3"
"*NSYNC","Bye Bye Bye","315874581","1"
"*NSYNC","This I Promise You","252377383","2"
"*NSYNC","It's Gonna Be Me","172368673","3"
"070 Shake","Escapism. - Slowed Down","25149399","1"
"070 Shake","Escapism.","25149399","1"
"070 Shake","Escapism. - Sped Up","25149399","1"
"070 Shake","Guilty Conscience","10148280","2"
"070 Shake","Morrow","2815446","3"
"11:11 Music Group","hola como tale tale vu - 1, 2, 3","9509592","1"
"11:11 Music Group","after dark x sweater weather","1566827","2"
"11:11 Music Group","stargirl interlude (sped up)","1005798","3"
"112","Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix","76971300","1"
"112","Peaches & Cream (feat. P. Diddy)","28261569","2"
"112","Peaches & Cream","28261569","2"
"112","Cupid","20597417","3"
"1nonly","Stay With Me","40195398","1"
"1nonly","Ash Kaashh","16613313","2"
"1nonly","DANCE!","9321575","3"
"2 Chainz","Mercy.1","262883082","1"
"2 Chainz","We Own It (Fast & Furious)","246860849","2"
"2 Chainz","It's A Vibe","151972246","3"
"21 Savage","Knife Talk (with 21 Savage ft. Project Pat)","74244853","1"
"21 Savage","Glock In My Lap","24885008","2"
"21 Savage","Pussy & Millions (feat. Travis Scott)","24885008","2"
"21 Savage","Creepin' (with The Weeknd & 21 Savage)","17011354","3"
"24kGoldn","Mood (feat. iann dior)","405630276","1"
"24kGoldn","Tick Tock (feat. 24kGoldn)","98951654","2"
"24kGoldn","VALENTINO","46964271","3"
"2Pac","Hit 'Em Up - Single Version","585712131","1"
"2Pac","Dear Mama","381061439","2"
"2Pac","California Love - Original Version","84654029","3"
"3 Doors Down","Here Without You","758398411","1"
"3 Doors Down","Here Without You - Acoustic","758398411","1"
"3 Doors Down","Kryptonite","393588871","2"
"3 Doors Down","When I'm Gone","155704474","3"
"42 Dugg","We Paid (feat. 42 Dugg)","351144301","1"
"42 Dugg","Grace (feat. 42 Dugg)","156611808","2"
"42 Dugg","Maybach (feat. Future)","123386910","3"
"5 Seconds of Summer","She Looks So Perfect","313128656","1"
"5 Seconds of Summer","Youngblood","207608224","2"
"5 Seconds of Summer","Teeth","121967027","3"
"50 Cent","In Da Club","1682616458","1"
"50 Cent","Candy Shop","838974650","2"
"50 Cent","P.I.M.P.","572659065","3"
"6ix9ine","BEBE","1368074181","1"
"6ix9ine","FEFE","1031146368","2"
"6ix9ine","GOOBA","821298622","3"
"6LACK","PRBLMS","269058863","1"
"6LACK","OTW","229345442","2"
"6LACK","Calling My Phone","171174242","3"
"a-ha","Take on Me","1602170613","1"
"a-ha","The Sun Always Shines on T.V.","93736610","2"
"a-ha","Take On Me - MTV Unplugged","88697505","3"
"A Boogie Wit da Hoodie","Jungle","98998997","1"
"A Boogie Wit da Hoodie","My Shit","84013245","2"
"A Boogie Wit da Hoodie","Still Think About You","82668009","3"
"A Day To Remember","All I Want","65811510","1"
"A Day To Remember","Have Faith In Me","36374945","2"
"A Day To Remember","All Signs Point To Lauderdale","31508825","3"
"A Tribe Called Quest","Electric Relaxation","41167375","1"
"A Tribe Called Quest","Scenario - LP Mix","20854002","2"
"A Tribe Called Quest","Buggin' Out","20707983","3"
"A Tribe Called Quest","Jazz (We've Got)","20707983","3"
"A$AP Ferg","Plain Jane REMIX (feat. Nicki Minaj)","176071336","1"
"A$AP Ferg","Shabba (feat. A$AP Rocky)","109137777","2"
"A$AP Ferg","New Level (feat. Future)","104920979","3"
"A$AP Rocky","Praise The Lord (Da Shine) (feat. Skepta)","477211057","1"
"A$AP Rocky","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","296250849","2"
"A$AP Rocky","L$D","179436818","3"
