"track","liveness"
"Me Quedo Contigo (Si Me Das A Elegir) - Live Baïonarena","1"
"El Próximo Viernes - Live Version","0.997"
"À Sua Maneira (De Música Ligera) - Ao Vivo","0.99"
"Eu Vou Estar - Ao Vivo","0.986"
"Anunciação - Ao Vivo","0.984"
"Okie From Muskogee - Live","0.984"
"Tan Sólo Tú (feat. Alejandra Guzmán) - Franco De Vita en Primera Fila","0.984"
"Okie From Muskogee - Live","0.984"
"Leave The Door Open - Live","0.984"
"Okie From Muskogee - Live","0.984"
"Natasha - Ao Vivo","0.984"
"Sabiá - Ao Vivo","0.983"
"Até O Fim - Ao Vivo","0.983"
"Sabiá - Ao Vivo","0.983"
"Supera - Ao Vivo","0.983"
"Stairway to Heaven (Live At The Kennedy Center Honors)","0.983"
"Cobertor de Orelha - Ao Vivo","0.982"
"São Gonça","0.982"
"Independência - Ao Vivo","0.98"
"Te Pienso Sin Querer (feat. Gloria Trevi) - Vuelve en Primera Fila - Live Version","0.98"
"You Learn - Live / Unplugged","0.978"
"Los Luchadores","0.978"
"Tyrone - Live","0.977"
"Tarada - Ao Vivo","0.977"
"Tarada - Ao Vivo","0.977"
"Eu Quero Recair - Ao Vivo","0.977"
"Nota de Repúdio - Ao Vivo","0.977"
"Para Tudo / Loucura do Seu Coração - Ao Vivo","0.976"
"Bye Bye","0.976"
"A Pagodeira - Ao Vivo","0.976"
"O Papa É Pop - Ao Vivo","0.975"
"This Land is Your Land","0.975"
"3 X 4 - Ao Vivo","0.974"
"Pídeme (En Vivo)","0.972"
"Somebody to Love","0.972"
"Pot-Pourri: Temporal / Velocidade da Luz - Ao Vivo","0.972"
"Dios imparable (feat. Marcos Witt)","0.971"
"Toda La Vida - MTV Unplugged","0.971"
"Teu Segredo - Ao Vivo","0.971"
"All My Ex's Live In Texas - Live","0.97"
"All My Ex's Live In Texas - Live","0.97"
"Arranhão - Ao Vivo","0.97"
"All My Ex's Live In Texas - Live","0.97"
"Toma - Ao Vivo","0.97"
"Es Mejor Así (feat. Reik) - Primera Fila - Live Version","0.969"
"America's Most Blunted","0.969"
"Yo Sé Que No Es Feliz (En Vivo) (feat. Matisse)","0.969"
"America's Most Blunted","0.969"
"Hyper Hyper","0.969"
"La Carencia","0.969"
"Medo Bobo - Ao Vivo","0.969"
"Head Shoulders Knees & Toes (Sing It)","0.968"
"Calm Sea Sounds","0.967"
"Pino da Granada (Ao Vivo em Rio Preto)","0.967"
"Calm Sea Sounds","0.967"
"Sumérgeme","0.967"
"Primeiros Erros (Chove) - Ao Vivo","0.965"
"Tempos Modernos","0.965"
"Evidencias - En Vivo","0.965"
"Pra você acreditar - Ao vivo","0.965"
"O Show Tem Que Continuar","0.964"
"PERIGO NOTURNO - Ao Vivo","0.964"
"La Puerta De Alcalá - En Directo","0.963"
"Luz De Dia - En Vivo","0.963"
"The Man Comes Around","0.962"
"Sinto sua falta - Ao vivo","0.961"
"96 - Tausendundein Tor! - Teil 08","0.96"
"Vai Lá Em Casa Hoje","0.96"
"Amigos No por Favor (Primera Fila) - En Vivo","0.96"
"Tesouro Do Pirata","0.96"
"Si Te Vas - Vivo","0.96"
"El Sol No Regresa (Versión Acústica) - En Vivo","0.959"
"Se... (Ao Vivo)","0.959"
"On The Road Again - Live","0.958"
"On The Road Again - Live","0.958"
"Añejo W - Vivo","0.958"
"On The Road Again - Live","0.958"
"Cê Não Pega Mais - Ao Vivo","0.958"
"Dias Melhores - Acústico","0.958"
"On The Road Again - Live","0.958"
"On The Road Again - Live","0.958"
"Deixa Acontecer - Ao Vivo","0.958"
"Si Te Pudiera Mentir - Live Version","0.957"
"Él Era Perfecto - En Vivo","0.957"
"Infinita Highway - Ao Vivo","0.957"
"Solteiro Não Trai - Ao Vivo","0.956"
"Ogum - Ao Vivo","0.956"
"Ex de Verdad - HA-ASH Primera Fila - Hecho Realidad [En Vivo]","0.954"
"Alô Ambev (Segue Sua Vida) - Ao Vivo","0.954"
"Costumbres - Vivo","0.953"
"Calma Amor - Ao Vivo Na Ilha Da Magia,Brasil/2008","0.953"
"Costumbres - Vivo","0.953"
"50 Vezes - Ao Vivo","0.952"
"50 Vezes - Ao Vivo","0.952"
"Ponto Fraco - Ao Vivo","0.952"
"Rain and Thunderstorm, Pt. 3","0.952"
"Perfume - Ao Vivo","0.952"
"Galileu - Ao Vivo","0.952"
"Tesouro do Pirata / Dança da Mãozinha - Ao Vivo","0.952"
"Perdón, Perdón - HA-ASH Primera Fila - Hecho Realidad [En Vivo]","0.952"
"Vá ppo inferno com seu amor","0.952"
"Pega o Guanabara - Ao Vivo","0.951"
"Rain and Thunderstorm, Pt. 37","0.951"
"Contatinho - Ao Vivo","0.951"
"Danca Da Maozinha","0.951"
"Eu Te Devoro - Ao Vivo","0.951"
"Sentimento - Ao vivo","0.95"
"Muerte En Hawaii","0.95"
"Liberdade Provisória - Live - Ibirapuera / 2019","0.948"
"Dar es dar","0.948"
"I Like It, I Love It","0.948"
"Péssimo Negócio (Ao Vivo)","0.948"
"Não Vou Te Bloquear - Ao vivo","0.948"
"É Isso Aí (The Blower'S Daughter)","0.947"
"Ocean Sounds For Deep Sleep","0.947"
"Ocean Sounds For Deep Sleep","0.947"
"Ya No Me Acuerdo Más de Ti - En Vivo","0.946"
"All you need is love","0.945"
"Sinônimos (Ao Vivo)","0.945"
"Sonhei com você","0.945"
"Saudade Fudida - Ao Vivo","0.945"
"Vida Vazia - Ao Vivo","0.944"
"Rain and Thunderstorm, Pt. 6","0.944"
"Fell In Love With a Girl","0.941"
"Domingando - Ao Vivo","0.94"
"Um Degrau na Escada - Ao Vivo","0.94"
"Maria - Radio Edit","0.94"
"My Swisher Sweet, But My Sig Sauer","0.94"
"Um Degrau na Escada - Ao Vivo","0.94"
"Meu Número - Ao Vivo","0.939"
"Meu Número - Ao Vivo","0.939"
"Deixa Alagar - Ao Vivo","0.938"
"Reconvexo - Ao Vivo","0.938"
"Rain and Thunderstorm, Pt. 4","0.938"
"Art Is Dead","0.936"
"Valeu - Ao Vivo Na Ilha Da Magia,Brasil/2008","0.934"
"Por Tão Pouco / Pagando Mal Com Mal / Faz Falta","0.934"
"Chegou um Áudio - Ao Vivo | Faixa Bônus","0.934"
"Evidências","0.934"
"Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo)","0.933"
"Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo)","0.933"
"Layla - Acoustic Live","0.933"
"Acordo - Ao Vivo","0.933"
"Slippin'","0.933"
"La Chica De Humo - MTV Unplugged","0.932"
"La Niña de la Escuela","0.932"
"Nada Fue Un Error - Live In Spain / 2005","0.931"
"Graves Into Gardens (Live)","0.931"
"Nada Fue Un Error - Live In Spain / 2005","0.931"
"Briga Feia - Ao Vivo","0.93"
"Tá Vendo Aquela Lua","0.93"
"Pirata e tesouro - Ao vivo","0.928"
"Tanto Faz - Ao Vivo","0.928"
"Pot-Pourri: Festa de Rodeio / Bailão de Peão / Mexe Que É Bom - Ao Vivo","0.928"
"Pot-Pourri: Festa de Rodeio / Bailão de Peão / Mexe Que É Bom - Ao Vivo","0.928"
"Numanice Lud Session - Modo Avião / A Tua Voz / 700 Por Hora / Radar / A Música Mais Triste do Ano - Ao vivo","0.926"
"A Fila Anda - Ao Vivo","0.924"
"emo girl (feat. WILLOW)","0.923"
"Pode Ir Embora - Ao Vivo","0.923"
"Digo ou Não Digo - Ao Vivo","0.922"
"Digo ou Não Digo - Ao Vivo","0.922"
"Até que enfim - Ao vivo","0.922"
"A Um Beijo - Ao Vivo","0.921"
"Pro Nosso Bem - Ao Vivo","0.921"
"Ex dos Meus Sonhos - Ao Vivo","0.921"
"Baby Me Atende","0.92"
"Decida - Ao Vivo","0.92"
"Bombonzinho - Ao Vivo","0.92"
"Bombonzinho - Ao Vivo","0.92"
"Baby Me Atende","0.92"
"Happy Xmas (War Is Over) - Ultimate Mix","0.919"
"La bikina - En vivo","0.918"
"Ele ou Eu - Ao Vivo","0.917"
"Ponto Final - Ao Vivo","0.917"
"Pé Na Areia - Ao Vivo","0.917"
"Boate Azul - Ao Vivo","0.916"
"Cheia de Manias - Ao Vivo","0.916"
"Spin Back x Collide - Remix","0.915"
"Los Muros Caerán","0.915"
"Pobre Corazo?n","0.915"
"Blind - Live at CBGB","0.915"
"Tu Carcel - En Vivo","0.914"
"Vai Me Dando Corda - Ao Vivo","0.914"
"Cheiro e Cabelo - Ao Vivo","0.913"
"Mande um Sinal - Ao Vivo","0.912"
"Acima do Sol - Ao Vivo","0.911"
