"album","diff_energy"
"White Noise","0.91"
"Spotify Singles - Holiday","0.84"
"UNDERTALE Soundtrack","0.82"
"Spotify Singles","0.82"
"Making Mirrors","0.81"
"Everytime We Touch (Premium Edition)","0.81"
"If I Can Dream: Elvis Presley with the Royal Philharmonic Orchestra","0.79"
"Fallen","0.77"
"CeeLo's Magic Moment","0.76"
"Safe Haven","0.74"
"Greatest Hits","0.74"
"Paranoid (Remaster)","0.73"
"Pain Killer","0.73"
"Nevermind (Remastered)","0.71"
"American Heartbreak","0.70"
"Texas Flood (Legacy Edition)","0.70"
"Immortalized (Deluxe Edition)","0.69"
"Storytelling","0.69"
"For Lovers","0.69"
"Baar Baar Dekho (Original Motion Picture Soundtrack)","0.68"
"A Brief Inquiry Into Online Relationships","0.68"
"Bridge Over Troubled Water","0.67"
"Scars & Stories","0.67"
"Sweet Caroline","0.67"
"INSIDE","0.67"
"Escape (Bonus Track Version)","0.66"
"Roses","0.66"
"Repeat Offender","0.66"
"The Greatest Showman (Original Motion Picture Soundtrack)","0.66"
"UTA'S SONGS ONE PIECE FILM RED","0.66"
"A Very Special Christmas","0.66"
"You and I","0.65"
"Plans","0.65"
"Baby Sleep: Ocean Sounds","0.64"
"What You See Is What You Get","0.64"
"All That We Needed","0.64"
"True Colors","0.64"
"The Velvet Underground & Nico 45th Anniversary","0.63"
"A Star Is Born Soundtrack (Without Dialogue)","0.63"
"Halina Sa Parokya","0.63"
"WALLS","0.63"
"Save Me, San Francisco (Golden Gate Edition)","0.62"
"Merry Christmas","0.62"
"Girl Of My Dreams","0.62"
"Led Zeppelin IV (Deluxe Edition)","0.62"
"What Is Love","0.62"
"Figure 8","0.62"
"Affirmation","0.61"
"Paramore","0.61"
"Return of the Mack (#25ROTM Deluxe Edition)","0.60"
"Syro","0.60"
"Game Of Thrones: Season 8 (Music from the HBO Series)","0.60"
"A Star Is Born Soundtrack","0.60"
"Life By Misadventure","0.60"
"Gloria","0.60"
"Master of Reality (2014 Remaster)","0.60"
"I Still Believe In You","0.59"
"Game Of Thrones: Season 6 (Music from the HBO Series)","0.59"
"Blood Sugar Sex Magik (Deluxe Edition)","0.59"
"SKZ-REPLAY","0.58"
"Intuition","0.58"
"Wildflowers","0.58"
"Purgatory","0.58"
"Come What(ever) May [10th Anniversary Edition]","0.58"
"El Nervio Del Volcan","0.58"
"Crazy","0.58"
"Game Of Thrones (Music From The HBO Series)","0.58"
"17","0.58"
"Bleed American (Deluxe Edition)","0.57"
"Hope World","0.57"
"Folge 153: Das große Gewitter","0.57"
"Agneepath (Original Motion Picture Soundtrack)","0.57"
"People (Live)","0.57"
"Unwritten","0.57"
"Mamma Mia! The Movie Soundtrack","0.57"
"We Can't Dance","0.57"
"Crush","0.57"
"Fine Line","0.57"
"Nomvula","0.56"
"Blow By Blow","0.56"
"Richard Marx","0.56"
"The Downward Spiral","0.56"
"Coming Home (Deluxe)","0.56"
"The Stranger (Legacy Edition)","0.56"
"Whiskey Bent And Hell Bound","0.56"
"Strange Trails","0.56"
"The Special One","0.56"
"Back To Front","0.56"
"Bear Creek","0.56"
"Depende","0.55"
"This Desert Life","0.55"
"Space and Time","0.55"
"Just As I Am","0.55"
"Hozier (Expanded Edition)","0.55"
"Midnight Memories (Deluxe)","0.55"
"Soy Yo","0.55"
"One","0.55"
"Post","0.54"
"The Warrior's Code","0.54"
"Vol. 3: The Subliminal Verses","0.54"
"A Revolta Dos Dandis","0.54"
"Grandes Sucessos","0.54"
"Sr. Santos","0.54"
"The Bends","0.54"
"Purple Rain","0.54"
"White Blood Cells","0.54"
"Doolittle","0.54"
"Sheezus","0.54"
"Happier Than Ever","0.54"
"Hairspray (Soundtrack To The Motion Picture)","0.54"
"Forever Young (Super Deluxe Edition; 2019 Remaster)","0.53"
"Rae","0.53"
"Majestic","0.53"
"MTV Unplugged","0.53"
"Appeal To Reason","0.53"
"Led Zeppelin III (Remaster)","0.53"
"A Place We Knew","0.53"
"Brothers in Arms","0.53"
"A New Flame (Expanded Version)","0.53"
"Encanto (Original Motion Picture Soundtrack)","0.53"
"DUMMY BOY","0.52"
"Siren Song Of The Counter-Culture","0.52"
"Wide Open Spaces","0.52"
"Stranger In Town","0.52"
"How To Train Your Dragon (Music From The Motion Picture)","0.52"
"The 2000's Greatest","0.52"
"Blackout","0.52"
"Elefante","0.52"
"Let's Skip to the Wedding","0.52"
"Victory Lap","0.52"
"Punisher","0.52"
"Get Weird (Expanded Edition)","0.52"
"Agustín","0.52"
"Around the Fur","0.52"
"Lost & Found","0.52"
"Superache","0.51"
"Invisible Touch","0.51"
"Hounds of Love (2018 Remaster)","0.51"
"Bipolar","0.51"
"Born In The U.S.A.","0.51"
"Sobreviviré","0.51"
"United","0.51"
"Bat Out Of Hell","0.51"
"Little Voice","0.51"
"Celebrando a una Leyenda (En Vivo)","0.51"
"Bad Reputation (Expanded Edition)","0.51"
"Justice","0.51"
"Hamilton (Original Broadway Cast Recording)","0.51"
"Sin Bandera","0.51"
"The Reason (15th Anniversary Deluxe)","0.51"
"Le Fabuleux destin d'Amélie Poulain (Bande originale du film)","0.51"
"Avalancha","0.51"
"This One's for You Too (Deluxe Edition)","0.51"
"Paulina","0.51"
"Re","0.51"
"Indigo","0.51"
"My Head Is An Animal","0.51"
"La Dulzura","0.51"
"Son Of A Son Of A Sailor","0.51"
"Breakfast In America (Deluxe Edition)","0.50"
"Thalia En Primera Fila","0.50"
"Mini World","0.50"
"Private Eyes (Expanded Edition)","0.50"
"Tonight","0.50"
"No Name Face","0.50"
"Everything We Are Everything","0.50"
"The Heat","0.50"
"Only Honest On The Weekend (Deluxe)","0.50"
"Montgomery Ricky","0.49"
"Melodrama","0.49"
"In Rainbows","0.49"
"Good News For People Who Love Bad News","0.49"
"Semilla Del Silencio","0.49"
"Three","0.49"
"Civilisation","0.49"
"Lush","0.49"
"No Jacket Required (2016 Remaster)","0.49"
"Let Go","0.49"
"Awake","0.49"
"Sangre de indio","0.49"
"Kgf Chapter 1","0.49"
"All Things Must Pass (Remastered 2014)","0.49"
"Tchaikovsky: The Nutcracker","0.49"
"Aim and Ignite (Deluxe Version)","0.49"
"NewJeans 1st EP 'New Jeans'","0.49"
"Ayan","0.49"
"Trip","0.48"
"Rab Ne Bana Di Jodi (Original)","0.48"
"Hurry Up, We're Dreaming","0.48"
"The Queen Is Dead","0.48"
"Metallica (Remastered)","0.48"
"MOTOMAMI","0.48"
"Your Name.","0.48"
"Beautiful Lies","0.48"
"Home","0.48"
"Destiny Fulfilled","0.48"
"Atlantis","0.48"
"The Slow Rush","0.48"
"Golden Hour","0.48"
"Sonder","0.47"
"Faith","0.47"
"Lola Versus Powerman and the Moneygoround, Pt. 1","0.47"
"Janet","0.47"
"Jack In The Box","0.47"
"Tom Petty & The Heartbreakers","0.47"
"Eyes Open","0.47"
"Tea For The Tillerman (Remastered 2020)","0.47"
"Numb","0.47"
"SOS","0.47"
"Nation of Two","0.47"
"Lo Esencial","0.47"
"Culture II","0.47"
"What Could Possibly Go Wrong","0.47"
"Folge 81: Geheimnis im Spukhotel","0.47"
"Reggatta De Blanc (Remastered 2003)","0.47"
"Playlist: The Very Best Of Alan Jackson","0.47"
"Melophobia","0.47"
"The Last of Us","0.46"
"Uprising","0.46"
"Inside In / Inside Out","0.46"
"El Madrileño","0.46"
"This Old Dog","0.46"
"Leyendas","0.46"
"Reyli En La Luna","0.46"
"Dizzy up the Girl","0.46"
"SNAP PACK","0.46"
"The Black Parade","0.46"
"Traveller","0.46"
"Core (Super Deluxe Edition)","0.46"
"MultiViral","0.46"
"Hatful of Hollow","0.46"
"40oz. To Freedom","0.46"
"Definitely Maybe (Deluxe Edition Remastered)","0.46"
"Student of the Year (Original Motion Picture Soundtrack)","0.46"
"Power","0.46"
"Time, Love & Tenderness","0.46"
"Blonde","0.46"
"Corazon Latino","0.46"
"For You","0.46"
"SOUR","0.46"
"Life in Cartoon Motion","0.46"
"Running on Empty (Remastered)","0.45"
"Giant Steps (Mono)","0.45"
"Celebrity","0.45"
"Mucho","0.45"
"Fuerza Natural","0.45"
"Tracy Chapman","0.45"
"Texas Moon","0.45"
"Volare","0.45"
"the mockingbird & THE CROW","0.45"
"Long Lost","0.45"
"Das Geheimnis der Geisterinsel","0.45"
"21","0.45"
"Substance","0.45"
"Nayagan (Original Motion Picture Soundtrack)","0.45"
"Ronan","0.45"
"Crossroads","0.45"
"Siamese Dream (Deluxe Edition)","0.45"
"Yeh Jawaani Hai Deewani","0.45"
"So Good","0.45"
"Motion","0.45"
"Are You Experienced","0.45"
"The Heist","0.45"
"UDOPIUM - Das Beste (Special Edition)","0.45"
"Halcyon Nights","0.44"
"The Melodic Blue","0.44"
"My Life","0.44"
"The Final Countdown (Expanded Edition)","0.44"
"The Elder Scrolls V: Skyrim: Original Game Soundtrack","0.44"
"Un Besito Más","0.44"
"Transatlanticism (10th Anniversary Edition)","0.44"
"Para La Eternidad","0.44"
"Alta Suciedad","0.44"
"Norman Fucking Rockwell!","0.44"
"She's So Unusual","0.44"
"Full Moon Fever","0.44"
"First Love","0.44"
"SMITHEREENS","0.44"
"Eres la Persona Correcta en el Momento Equivocado (Deluxe Edition)","0.44"
"Surfacing","0.44"
"Harry's House","0.44"
"A Reckoning","0.44"
"House of Gold & Bones, Part 1","0.44"
"Poison Ou Antidote","0.44"
"All My Demons Greeting Me as a Friend (Deluxe)","0.43"
"Batman (Original Motion Picture Score)","0.43"
"Ripcord","0.43"
"Dangerous: The Double Album","0.43"
"Proof","0.43"
"Only Human (Deluxe)","0.43"
"Cheap Thrills","0.43"
"Cooleyhighharmony (Bonus Tracks Version)","0.43"
"FRIENDS KEEP SECRETS 2","0.43"
"Voulez-Vous","0.43"
"Certified Lover Boy","0.43"
"Rio: Music From The Motion Picture","0.43"
"Continuum","0.43"
"Finally Rich","0.43"
"Dire Straits","0.43"
"Bangin'","0.43"
"The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)","0.43"
"Homesick","0.43"
"Best 1991 - 2004","0.43"
"Corazón Y Flecha","0.43"
"So (25th Anniversary Deluxe Edition)","0.43"
"Come On Over","0.43"
"Love Story","0.43"
"Hopes And Fears","0.43"
"Her Love Still Haunts Me Like a Ghost","0.43"
"Cocky","0.43"
"XX Años (En Vivo)","0.43"
"In A Time Lapse","0.43"
"Guitar Man","0.42"
"Sweat","0.42"
"Mexicana Enamorada","0.42"
"Bridging The Gap","0.42"
"Strange Days","0.42"
"Bleed American","0.42"
"Selected Ambient Works 85-92","0.42"
"Unorthodox Jukebox","0.42"
"Party Rock","0.42"
"La Trenza","0.42"
"Lo mas lejos a tu lado","0.42"
"PTSD","0.42"
"Israel & Rodolffo: Ao Vivo Em Brasília (Deluxe)","0.42"
"SUBJECT TO CHANGE","0.42"
"Ofertório (Ao Vivo)","0.42"
"Trendsetter","0.42"
"Hold Me in Your Arms","0.42"
"The Gods We Can Touch","0.42"
"Stars (Expanded Version)","0.42"
"2001","0.42"
"Raop","0.42"
"Ray Charles (aka: Hallelujah, I Love Her So)","0.42"
"QMPLE","0.42"
"Europop","0.42"
"Trip Tape","0.41"
"In The Pocket","0.41"
"Fever","0.41"
"El Camino","0.41"
"August And Everything After","0.41"
"AT.LONG.LAST.A$AP","0.41"
"Mud On The Tires","0.41"
"Fragments","0.41"
"McCartney (Archive Collection)","0.41"
