"track","total_views","total_likes"
"Despacito","16159296273","101577278"
"See You Again (feat. Charlie Puth)","11547595554","80295292"
"Boy With Luv (feat. Halsey)","3268219993","55176413"
"lovely (with Khalid)","3442782701","48852042"
"Señorita","2975300305","39692236"
"Old Town Road - Remix","2406591529","37889373"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","4828403435","37552053"
"Dynamite","1841058866","36609928"
"Shape of You","5908398479","31047780"
"Happier","2494989607","31041744"
"Thrift Shop (feat. Wanz)","4508467245","30242165"
"Somebody That I Used To Know","4114890942","29168472"
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","5162403752","28864162"
"Dusk Till Dawn (feat. Sia) - Radio Edit","3907550097","28299420"
"Sunflower - Spider-Man: Into the Spider-Verse","3954778068","27499619"
"Faded","3400741854","26446178"
"Calma - Remix","5322011392","25649519"
"Perfect","4080224385","24814514"
"How You Like That","1182611467","24290306"
"Kill This Love","1734794444","24061574"
"Left and Right (Feat. Jung Kook of BTS)","880081492","24050513"
"Baby","2978427431","23750164"
"FRIENDS","1988168627","23728645"
"Peaches (feat. Daniel Caesar & Giveon)","1856761952","22916162"
"Butter","850329651","22723127"
"DDU-DU DDU-DU","2012854627","22570280"
"Bang Bang","4002768766","22355292"
"I Like It","3391145793","21779207"
"Raataan Lambiyan (From ""Shershaah"")","2327784101","21519442"
"Tusa","2807549093","21388336"
"This Is What You Came For","5252059812","21207312"
"Enemy (with JID) - from the series Arcane League of Legends","1185281403","20918740"
"Leave The Door Open","1913004933","20775830"
"Something Just Like This","4236043204","20565056"
"Believer","2369731393","20484971"
"Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","3463816330","20327883"
"STAY (with Justin Bieber)","1362416985","20262821"
"Turn Down for What","2289809704","20251461"
"Uptown Funk (feat. Bruno Mars)","4821016218","20067879"
"Échame La Culpa","4491334603","20006575"
"Can't Hold Us (feat. Ray Dalton)","3036616404","19812415"
"MIC Drop (Steve Aoki Remix) - Full Length Edition","1300861371","19663558"
"Without Me","2310856292","19535932"
"On My Way","1061289599","19364076"
"Sweet Dreams (Are Made of This)","2290611491","19292108"
"Sweet Dreams (Are Made of This) - Remastered","2290611491","19292108"
"Shakira: Bzrp Music Sessions, Vol. 53","504220135","18833500"
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","2414201716","18776025"
"Con Altura","4093098189","18536081"
"Stressed Out","2621773189","18065718"
"INDUSTRY BABY (feat. Jack Harlow)","819741743","18006194"
"Moonlight","1029202328","17971673"
"bad guy","1224659786","17920724"
"Bole Chudiyan","3817613826","17771858"
"My Universe","509314347","17735151"
"WAP (feat. Megan Thee Stallion)","982162640","17560835"
"Besharam Rang (From ""Pathaan"")","1375517230","17469333"
"Mi Gente","3179386245","17446108"
"Beautiful Girls","2140501516","17294552"
"Sin Pijama","4172961620","17249780"
"Permission to Dance","563221859","17090534"
"New Rules","2809699009","16730579"
"Counting Stars","3721610307","16558621"
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","2693988694","16391923"
"Dark Horse","3442526730","16342399"
"Kesariya","1215026349","16184895"
"Taaron Ke Shehar","1805246717","16183975"
"Sugar","3947319650","16146579"
"Never Gonna Give You Up","1349692359","15938795"
"Roar","3725748519","15864499"
"Sorry","3627305503","15789307"
"BOOMBAYAH","1532197552","15390062"
"Let Her Go - Acoustic","3376086171","15361684"
"Let Her Go","3376086171","15361684"
"7 rings","1241561447","15332167"
"In the Name of Love","1481643238","15322221"
"Shallow","2820304167","15303825"
"God's Plan","1467723572","15244903"
"Heathens","1987866504","15003359"
"Pink Venom","530630417","14969274"
"Symphony (feat. Zara Larsson)","2415319034","14775625"
"Unforgettable","3034515204","14717391"
"Wheels on the Bus","4898831101","14396841"
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","2361268911","14346356"
