"album","total_views"
"VIDA","21140883569"
"See You Again (feat. Charlie Puth)","11547595554"
"The Heist","11240587663"
"Peace Is The Mission (Extended)","10634457280"
"CoComelon Kids Hits, Vol. 1","10518197319"
"÷ (Deluxe)","9666639016"
"PRISM","7820546400"
"What Is Love? (Deluxe Edition)","7378170568"
"MALA SANTA","6421336650"
"Purpose (Deluxe)","5846258138"
"Different World","5638075335"
"MUNAY","5580283007"
"This Is What You Came For","5252059812"
"Evolve","5164272224"
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","5162403752"
"V","5154007946"
"Hollywood's Bleeding","5100616676"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","4828403435"
"Uptown Special","4821016218"
"x (Wembley Edition)","4812773777"
"Homerun","4795982636"
"VIVES","4736798332"
"Gangnam Style (?????)","4679767471"
"Memories...Do Not Open","4635957165"
"Title (Deluxe)","4630573852"
"SEX AND LOVE (Deluxe)","4567294232"
"Teenage Dream","4488764640"
"Blurryface","4337568466"
"Recovery","4266398170"
"Greatest Hits","4216406081"
"Icarus Falls","4202640870"
"Making Mirrors","4177867606"
"21","4121164036"
"Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)","4101400159"
"Con Altura","4093098189"
"Famouz","4055900832"
"FINAL (Vol.1)","3985785135"
"Motion","3973401294"
"KG0516","3936039463"
"Sweet Talker (Deluxe Version)","3892908827"
"Native","3869226586"
"1000 Forms Of Fear (Deluxe Version)","3842800158"
"Nine Track Mind","3723188185"
"El Dorado","3666089291"
"24K Magic","3662494185"
"Dua Lipa (Deluxe)","3612708434"
"Si Se da Remix","3608751271"
"This Unruly Mess I've Made","3568086481"
"Blue","3492269332"
"Listen Up! The Official 2010 FIFA World Cup Album","3463816330"
"lovely (with Khalid)","3442782701"
"Para Aventuras y Curiosidades","3411017891"
"Fórmula, Vol. 2 (Deluxe Edition)","3391674056"
"All The Little Lights","3376086171"
"All The Little Lights (Deluxe Version)","3376086171"
"7/27 (Deluxe)","3360435914"
"Future Nostalgia","3336475006"
"Carte Blanche","3309559660"
"A Star Is Born Soundtrack","3292712556"
"Invasion of Privacy","3282306627"
"MAP OF THE SOUL : PERSONA","3268219993"
"Get Rich Or Die Tryin'","3199725819"
"Vibras","3179386245"
"At Night, Alone.","3126713420"
"1989","3096802224"
"Adicto (with Anuel AA & Ozuna)","3026814542"
"Un Verano Sin Ti","3009617014"
"Jungle Rules","2994528727"
"Mal De Amores","2989889762"
"Fénix","2984747263"
"Shawn Mendes (Deluxe)","2975300305"
"7 EP","2971813563"
"Shree Hanuman Chalisa (Hanuman Ashtak)","2928197661"
"Grateful","2924009265"
"Doo-Wops & Hooligans","2922280827"
"My World 2.0","2905792670"
"Unorthodox Jukebox","2866947444"
"La Criatura","2864330745"
"Funk Wav Bounces Vol.1","2861201609"
"Valiente","2830959653"
"Global Warming: Meltdown (Deluxe Version)","2815290911"
"In The Lonely Hour","2811485648"
"TRUE","2808800270"
"Use Your Illusion I","2789141230"
"Appetite For Destruction","2772023033"
"HA-ASH Primera Fila - Hecho Realidad","2704757307"
"An Evening With Silk Sonic","2703460395"
"Sensualidad","2691446390"
"Nursery Rhymes by CoComelon","2645859287"
"Con Calma","2626439287"
"Expectations","2620377445"
"Reflection (Deluxe)","2606571586"
"Sorry For Party Rocking","2529697480"
"Fifty Shades Freed (Original Motion Picture Soundtrack)","2487707745"
"Justice","2486246902"
"Night Visions","2470758740"
"Skrillex and Diplo present Jack Ü","2469122594"
"Criminal","2447960265"
"Ahora","2424899538"
"DUMMY BOY","2400732665"
"Fallen","2383502292"
"La Ocasión","2379789100"
"Nevermind (Remastered)","2378019107"
"HEROES & VILLAINS","2367631205"
"Toxicity","2359993580"
"Te Boté (Clean Version)","2354418112"
"Ubuntu","2350057505"
"Midnight Memories (Deluxe)","2345681085"
"Sweet Dreams (Are Made Of This)","2335776763"
"Emmanuel","2330847276"
"Raataan Lambiyan (From ""Shershaah"")","2327784101"
"Illuminate","2315953928"
"Meteora","2307057471"
"TROLLS (Original Motion Picture Soundtrack)","2297396078"
"Turn Down for What","2289809704"
"AM","2286933648"
"Metallica (Remastered)","2282222569"
"Hybrid Theory (Bonus Edition)","2257336210"
"Love In The Future (Expanded Edition)","2242022292"
"So Good","2241035581"
"Voicenotes","2240920208"
"Starboy","2226806389"
"A Thousand Years","2213836289"
"Queen Of The Clouds","2207787918"
"Thriller","2206424460"
"The Truth About Love","2202577544"
"The Eminem Show","2185689760"
"Planet Pit (Deluxe Version)","2174109779"
"Worth It","2148602737"
"FANTASÍA","2143631518"
"Intimo","2133459242"
"Californication (Deluxe Edition)","2127461445"
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2119556303"
"Bangerz (Deluxe Version)","2117994753"
"De mi puño y letra - Edicion Coleccionista","2115576080"
"Talk That Talk","2114132609"
"Happier","2097835357"
"The Neha Kakkar Collection","2094990902"
"2001","2071061991"
"Loca","2069278093"
"Love?","2062108307"
"On The Floor","2062108307"
"Bubalu","2058219489"
"The Bodyguard - Original Soundtrack Album","2052835093"
"Esto Sí Es Cumbia","2046221185"
"SQUARE UP","2012854627"
"Victory","2002737372"
"Por Fin Te Encontré","1996068117"
"thank u, next","1991464918"
"LABRINTH, SIA & DIPLO PRESENT... LSD","1989828739"
"FRIENDS","1988168627"
"Heathens","1987866504"
"Culture II","1973787068"
"Diles","1972775326"
"PCD","1940782598"
"This Is Acting (Deluxe Version)","1939502034"
"Beauty Behind The Madness","1933920747"
"I Am","1924222974"
"3","1924117052"
"Don't Let Me Down","1921205406"
"Half Girlfriend (Original Motion Picture Soundtrack)","1919454553"
"Handwritten","1917933786"
"Konvicted","1905809640"
"Visualízate","1892145554"
"Balas Perdidas","1880918285"
"Solita","1880696481"
"The Beautiful & Damned","1873827022"
"Human (Deluxe)","1843180575"
"Vente Pa' Ca (feat. Maluma)","1832635634"
"Overexposed (Deluxe)","1831782065"
"EL ÚLTIMO TOUR DEL MUNDO","1830583761"
"A Head Full of Dreams","1828242112"
"F.A.M.E.","1825262539"
"Baby Shark & More Kids Songs","1820506530"
"Taaron Ke Shehar","1805246717"
"Wild Ones","1796421886"
"Back To Black (Deluxe Edition)","1791025076"
"Mini World","1788121746"
"Chhichhore","1757311080"
"Scorpion","1756729664"
"Hunting High and Low","1755173737"
"Fanaa","1752082231"
"Day69: Graduation Day","1745170885"
"After Hours","1736348730"
"Racine Carrée (Standard US Version)","1735916719"
"KILL THIS LOVE","1734794444"
"One Kiss (with Dua Lipa)","1729713632"
"OASIS","1719199017"
"Globalization","1708967839"
"The Bath Song & More Kids Songs","1702038454"
"Culture","1686336952"
"TRANSLATION","1684032443"
"She's So Unusual","1683463143"
"Back from the Edge","1669569449"
"Mylo Xyloto","1665814269"
"Nothing but the Beat 2.0","1659258469"
"Brahmastra (Original Motion Picture Soundtrack)","1656301361"
"Get Weird (Expanded Edition)","1656152707"
"World Of Walker","1654064785"
"ADN","1652550023"
"The Fame Monster (Deluxe Edition)","1651059028"
"Yeh Jawaani Hai Deewani","1648963406"
"Halcyon Nights","1643072055"
"BE","1640945859"
"Cumbias Para Bailar","1623456410"
"Back In Black","1618607634"
"beerbongs & bentleys","1617553181"
"Odisea","1607796351"
"Platonicos","1607755394"
"Te Amo","1606297676"
"F*CK LOVE 3+: OVER YOU","1598781923"
"Climaxxx","1596705737"
"Confessions (Expanded Edition)","1594617365"
"KrING","1591967360"
"Golden","1582100648"
"Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors)","1576637183"
"Nellyville","1576022405"
"A Night At The Opera (Deluxe Remastered Version)","1575428757"
"The Score (Expanded Edition)","1563458475"
"Illuminate (Deluxe)","1561748173"
"Millennium","1556051413"
